Model,F1_Score
NaiveBayes,0.8765615424853863
LogisticRegression,0.7924435088231784
LinearSVM,0.93889042795506
HardVoting,0.889006984819509
SoftVoting,0.9157697170732757
Stacking,0.9467196168656498
AdaBoost_Stumps,0.5847982085244927
